app,time,outlier,time2
YouTube,0.1,0,0.1
TikTok,14.666666666666666,0,14.666666666666666
Instagram,4.116666666666666,0,4.116666666666666
Facebook,1.0833333333333333,0,1.0833333333333333
YouTube,0.5,0,0.5
TikTok,1.8,0,1.8
Instagram,0.48333333333333334,0,0.48333333333333334
Facebook,0,0,0
YouTube,5,0,5
TikTok,16.133333333333333,0,16.133333333333333
Instagram,2.5,0,2.5
Facebook,2.1666666666666665,0,2.1666666666666665
YouTube,0.5,0,0.5
TikTok,0.5,0,0.5
Instagram,1,0,1
Facebook,1,0,1
YouTube,1,0,1
TikTok,21,1,NA
Instagram,18,1,NA
Facebook,10,0,10
YouTube,5,0,5
TikTok,1.1166666666666667,0,1.1166666666666667
Instagram,4.283333333333333,0,4.283333333333333
Facebook,0.95,0,0.95
YouTube,20.516666666666666,1,NA
TikTok,0.45,0,0.45
Instagram,8.05,0,8.05
Facebook,5.616666666666667,0,5.616666666666667
YouTube,20.1,1,NA
TikTok,0,0,0
Instagram,0.5,0,0.5
Facebook,0.03333333333333333,0,0.03333333333333333
YouTube,0,0,0
TikTok,5.5,0,5.5
Instagram,1,0,1
Facebook,8,0,8
YouTube,0,0,0
TikTok,0,0,0
Instagram,6.55,0,6.55
Facebook,0,0,0
YouTube,3.2,0,3.2
TikTok,6.65,0,6.65
Instagram,2.3666666666666667,0,2.3666666666666667
Facebook,1.3333333333333333,0,1.3333333333333333
YouTube,0.13333333333333333,0,0.13333333333333333
TikTok,0,0,0
Instagram,16.333333333333332,1,NA
Facebook,2.3833333333333333,0,2.3833333333333333
YouTube,14.683333333333334,1,NA
TikTok,0,0,0
Instagram,0.26666666666666666,0,0.26666666666666666
Facebook,0.55,0,0.55
YouTube,0,0,0
TikTok,23.216666666666665,1,NA
Instagram,10,0,10
Facebook,10,0,10
YouTube,9,0,9
TikTok,7,0,7
Instagram,2,0,2
Facebook,1,0,1
YouTube,0,0,0
TikTok,7,0,7
Instagram,2,0,2
Facebook,4,0,4
YouTube,6,0,6
TikTok,10,0,10
Instagram,20,1,NA
Facebook,20,1,NA
YouTube,20,1,NA
TikTok,22.15,1,NA
Instagram,0,0,0
Facebook,4.966666666666667,0,4.966666666666667
YouTube,0,0,0
TikTok,1.2,0,1.2
Instagram,1.4666666666666668,0,1.4666666666666668
Facebook,1.0166666666666666,0,1.0166666666666666
YouTube,0,0,0
TikTok,2,0,2
Instagram,1,0,1
Facebook,0,0,0
YouTube,0,0,0
TikTok,0.05,0,0.05
Instagram,0.38333333333333336,0,0.38333333333333336
Facebook,0.13333333333333333,0,0.13333333333333333
YouTube,1.0833333333333333,0,1.0833333333333333
TikTok,10.366666666666667,0,10.366666666666667
Instagram,5.166666666666667,0,5.166666666666667
Facebook,1,0,1
YouTube,0.08333333333333333,0,0.08333333333333333
TikTok,0,0,0
Instagram,0,0,0
Facebook,5.716666666666667,0,5.716666666666667
YouTube,19.716666666666665,1,NA
TikTok,12,0,12
Instagram,5,0,5
Facebook,5,0,5
YouTube,3,0,3
TikTok,1,0,1
Instagram,0,0,0
Facebook,1,0,1
YouTube,4,0,4
TikTok,4.3,0,4.3
Instagram,0.16666666666666666,0,0.16666666666666666
Facebook,0.5,0,0.5
YouTube,0,0,0
TikTok,0,0,0
Instagram,0,0,0
Facebook,3,0,3
YouTube,5,0,5
TikTok,1,0,1
Instagram,1,0,1
Facebook,2.3666666666666667,0,2.3666666666666667
YouTube,1,0,1
TikTok,0,0,0
Instagram,0.25,0,0.25
Facebook,1.75,0,1.75
YouTube,2.3333333333333335,0,2.3333333333333335
TikTok,0,0,0
Instagram,0,0,0
Facebook,1,0,1
YouTube,3,0,3
TikTok,1,0,1
Instagram,0.5,0,0.5
Facebook,5,0,5
YouTube,5,0,5
TikTok,12.35,0,12.35
Instagram,6,0,6
Facebook,5,0,5
YouTube,0,0,0
TikTok,6.283333333333333,0,6.283333333333333
Instagram,2.35,0,2.35
Facebook,0.016666666666666666,0,0.016666666666666666
YouTube,23.4,1,NA
TikTok,4.283333333333333,0,4.283333333333333
